# M. R. Vogt, “Development of Physical Models for the Simulation of Optical Properties of Solar Cell Modules,” Leibniz University Hannover, 2015		
# SiN209		
# 𝜆 [nm]	n SiN2.09	k SiN2.09
250	2.459	0.2465
260	2.426	0.2031
270	2.396	0.1687
280	2.369	0.1411
290	2.345	0.1186
300	2.323	0.1001
310	2.303	0.0846
320	2.285	0.0716
330	2.269	0.0606
340	2.254	0.0512
350	2.241	0.0432
360	2.228	0.0363
370	2.217	0.0303
380	2.206	0.0252
390	2.196	0.0208
400	2.187	0.017
410	2.179	0.0137
420	2.171	0.0109
430	2.163	0.0085
440	2.156	0.0065
450	2.15	0.0048
460	2.144	0.0034
470	2.138	0.0023
480	2.133	0.0014
490	2.128	0.0008
500	2.124	0.0003
510	2.119	0.0001
520	2.115	0
530	2.112	0
540	2.109	0
550	2.106	0
560	2.103	0
570	2.101	0
580	2.099	0
590	2.096	0
600	2.094	0
610	2.092	0
620	2.091	0
630	2.089	0
640	2.087	0
650	2.086	0
660	2.084	0
670	2.083	0
680	2.082	0
690	2.081	0
700	2.079	0
710	2.078	0
720	2.077	0
730	2.076	0
740	2.075	0
750	2.074	0
760	2.074	0
770	2.073	0
780	2.072	0
790	2.071	0
800	2.07	0
810	2.07	0
820	2.069	0
830	2.068	0
840	2.068	0
850	2.067	0
860	2.067	0
870	2.066	0
880	2.066	0
890	2.065	0
900	2.065	0
910	2.064	0
920	2.064	0
930	2.063	0
940	2.063	0
950	2.062	0
960	2.062	0
970	2.062	0
980	2.061	0
990	2.061	0
1000	2.06	0
1010	2.06	0
1020	2.06	0
1030	2.059	0
1040	2.059	0
1050	2.059	0
1060	2.059	0
1070	2.058	0
1080	2.058	0
1090	2.058	0
1100	2.057	0
1110	2.057	0
1120	2.057	0
1130	2.057	0
1140	2.056	0
1150	2.056	0
1160	2.056	0
1170	2.056	0
1180	2.056	0
1190	2.055	0
1200	2.055	0
1210	2.055	0
1220	2.055	0
1230	2.055	0
1240	2.054	0
1250	2.054	0
1260	2.054	0
1270	2.054	0
1280	2.054	0
1290	2.054	0
1300	2.053	0
1310	2.053	0
1320	2.053	0
1330	2.053	0
1340	2.053	0
1350	2.053	0
1360	2.053	0
1370	2.052	0
1380	2.052	0
1390	2.052	0
1400	2.052	0
1410	2.052	0
1420	2.052	0
1430	2.052	0
1440	2.052	0
1450	2.052	0
1460	2.051	0
1470	2.051	0
1480	2.051	0
1490	2.051	0
1500	2.051	0
1510	2.051	0
1520	2.051	0
1530	2.051	0
1540	2.051	0
1550	2.051	0
1560	2.05	0
1570	2.05	0
1580	2.05	0
1590	2.05	0
1600	2.05	0
1610	2.05	0
1620	2.05	0
1630	2.05	0
1640	2.05	0
1650	2.05	0
1660	2.05	0
1670	2.05	0
1680	2.05	0
1690	2.049	0
1700	2.049	0
