# lambda  	 theta 	 Rs 	 Rp 	 Ts 	 Tp
300.0 0.0 0.3919194749 0.3919194749 0.3642943576 0.3642943576
300.0 2.0 0.3922508487 0.3918605845 0.3640636524 0.3643178515
300.0 4.0 0.3932445667 0.3916819689 0.3633720143 0.3643894791
300.0 6.0 0.3948994156 0.3913778102 0.3622208789 0.3645126701
300.0 8.0 0.3972133602 0.3909384633 0.3606126483 0.3646931122
300.0 10.0 0.4001835273 0.3903505307 0.3585507042 0.3649387093
300.0 12.0 0.4038061860 0.3895969642 0.3560394221 0.3652595251
300.0 14.0 0.4080767304 0.3886571898 0.3530841862 0.3656677130
300.0 16.0 0.4129896679 0.3875072532 0.3496913990 0.3661774349
300.0 18.0 0.4185386192 0.3861199790 0.3458684839 0.3668047716
300.0 20.0 0.4247163349 0.3844651421 0.3416238759 0.3675676256
300.0 22.0 0.4315147346 0.3825096450 0.3369669965 0.3684856209
300.0 24.0 0.4389249717 0.3802176964 0.3319082101 0.3695800007
300.0 26.0 0.4469375299 0.3775509889 0.3264587580 0.3708735247
300.0 28.0 0.4555423522 0.3744688733 0.3206306680 0.3723903691
300.0 30.0 0.4647290039 0.3709285268 0.3144366392 0.3741560274
300.0 32.0 0.4744868697 0.3668851200 0.3078899000 0.3761972123
300.0 34.0 0.4848053817 0.3622919848 0.3010040428 0.3785417565
300.0 36.0 0.4956742742 0.3571007935 0.2937928350 0.3812185058
300.0 38.0 0.5070838584 0.3512617639 0.2862700122 0.3842571979
300.0 40.0 0.5190253101 0.3447239130 0.2784490565 0.3876883118
300.0 42.0 0.5314909602 0.3374353929 0.2703429660 0.3915428710
300.0 44.0 0.5444745775 0.3293439583 0.2619640222 0.3958521709
300.0 46.0 0.5579716340 0.3203976343 0.2533235600 0.4006473901
300.0 48.0 0.5719795398 0.3105456882 0.2444317498 0.4059590286
300.0 50.0 0.5864978377 0.2997400477 0.2352973955 0.4118160885
300.0 52.0 0.6015283483 0.2879373783 0.2259277562 0.4182448756
300.0 54.0 0.6170752553 0.2751021254 0.2163283959 0.4252672452
300.0 56.0 0.6331451263 0.2612109738 0.2065030668 0.4328980315
300.0 58.0 0.6497468628 0.2462593912 0.1964536276 0.4411412744
300.0 60.0 0.6668915784 0.2302712635 0.1861800010 0.4499846625
300.0 62.0 0.6845924061 0.2133131429 0.1756801693 0.4593913120
300.0 64.0 0.7028642368 0.1955154518 0.1649502087 0.4692875267
300.0 66.0 0.7217233984 0.1771042926 0.1539843590 0.4795444299
300.0 68.0 0.7411872824 0.1584496307 0.1427751273 0.4899501273
300.0 70.0 0.7612739321 0.1401391225 0.1313134192 0.5001670401
300.0 72.0 0.7820016069 0.1230927265 0.1195886937 0.5096656424
300.0 74.0 0.8033883404 0.1087432763 0.1075891347 0.5176200279
300.0 76.0 0.8254515094 0.0993256353 0.0953018314 0.5227406229
300.0 78.0 0.8482074350 0.0983479026 0.0827129627 0.5230014919
300.0 80.0 0.8716710340 0.1113733701 0.0698079752 0.5151876669
300.0 82.0 0.8958555383 0.1473414242 0.0565717505 0.4941302506
300.0 84.0 0.9207722987 0.2208328382 0.0429887538 0.4513942246
300.0 86.0 0.9464306831 0.3559852766 0.0290431602 0.3730095437
